index,ee,Prediction,Ligand,Boron_reagent,Substrate,family,fold,set,error
105.0,5.0,6.2483038902282715,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,OB(O)c1ccccc1,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam1,0,test,-1.2483038902282715
107.0,7.0,5.946267604827881,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,COc1ccc(B(O)O)cc1,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam1,0,test,1.0537323951721191
108.0,5.0,4.672328472137451,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,OB(O)c1ccc(F)cc1,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam1,0,test,0.32767152786254883
111.0,93.5,96.04085540771484,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,OB(O)c1ccccc1,O=C1C=CC(=O)N1C1CCCCC1,fam1,0,test,-2.5408554077148438
112.0,96.0,100.16558837890625,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,Cc1ccccc1B(O)O,O=C1C=CC(=O)N1C1CCCCC1,fam1,0,test,-4.16558837890625
132.0,1.0,1.6145778894424438,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,OB(O)c1ccccc1,O=C1C=CC2(OCCO2)c2ccccc21,fam3,0,test,-0.6145778894424438
138.0,1.25,3.0985770225524902,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,COc1ccc(B(O)O)cc1OC,O=C1C=CC2(OCCO2)c2ccccc21,fam3,0,test,-1.8485770225524902
139.0,1.0,0.4265228509902954,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,OB(O)c1ccc2ccccc2c1,O=C1C=CC2(OCCO2)c2ccccc21,fam3,0,test,0.5734771490097046
150.0,1.0,5.156463146209717,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,OB(O)c1ccc(Br)cc1,COC(=O)/C(C#N)=C/c1ccc(OC)cc1,fam3,0,test,-4.156463146209717
152.0,1.0,17.719085693359375,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,OB(O)c1ccccc1,Cc1ccc2oc(=O)ccc2c1,fam3,0,test,-16.719085693359375
194.0,93.0,100.47840881347656,C1=C(Cc2ccccc2)[C@@H]2C=C(Cc3ccccc3)[C@H]1CC2,OB(O)c1ccccc1,CON(C)C(=O)/C=C/C(C)C,fam3,0,test,-7.4784088134765625
232.0,1.0,-0.1178821325302124,C[C@@]12C=C(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@](C)(C=C1c1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC2,OB(O)c1ccccc1,O=C1C=CCCC1,fam4,0,test,1.1178821325302124
239.0,96.5,102.99419403076172,CO[C@]1(C)C[C@@]2(C)C=C[C@@H]1C=C2c1c(C)cccc1C,OB(O)c1ccccc1,O=C1C=CCCCC1,fam5,0,test,-6.494194030761719
258.0,2.5,-3.9372763633728027,C=CCC1=C[C@]2(C)C[C@](C)(OC)[C@H]1C=C2CC(C)C,OB(O)c1cccc(Cl)c1,O=C1C=CCC1,fam6,0,test,6.437276363372803
260.0,2.5,-0.795742392539978,C=CCC1=C[C@]2(C)C[C@](C)(OC)[C@H]1C=C2CC(C)C,OB(O)c1ccccc1,O=C1C=CCCCC1,fam6,0,test,3.295742392539978
263.0,90.0,-23.010467529296875,C=CCC1=C[C@]2(C)C[C@](C)(OC)[C@H]1C=C2CC(C)C,CC1(C)OB(/C=C/c2ccccc2)OC1(C)C,O=C1C=CCO1,fam6,0,test,113.01046752929688
265.0,0.4000000059604645,16.294605255126953,CC1=C[C@@H]2C(C(C)(C)O)=C[C@H]1C[C@@H]2C(C)C,OB(O)c1ccc(C(F)(F)F)cc1,O=C1C=CCCC1,fam7,0,test,-15.894605249166489
267.0,94.5,40.13721466064453,CO[C@@]1(C)C[C@@]2(C)C=C(Cc3ccccc3)[C@@H]1C=C2CC(C)C,COC(=O)c1cccc(B(O)O)c1,O=C/C=C/c1ccccc1,fam6,0,test,54.36278533935547
276.0,96.0,97.41435241699219,CO[C@@]1(C)C[C@@]2(C)C=C(Cc3ccccc3)[C@@H]1C=C2CC(C)C,COc1ccc(B(O)O)cc1,CC(C)(C)OC(=O)/C=C/c1ccco1,fam6,0,test,-1.4143524169921875
279.0,96.0,107.06777954101562,CO[C@@]1(C)C[C@@]2(C)C=C(Cc3ccccc3)[C@@H]1C=C2CC(C)C,OB(O)c1ccccc1C(F)(F)F,CC(C)(C)OC(=O)/C=C/c1ccccc1,fam6,0,test,-11.067779541015625
306.0,1.0,5.08008337020874,CC1=C[C@@H]2C(C(C)(C)O)=C[C@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1,O=C1C=CCCCC1,fam7,0,test,-4.08008337020874
307.0,97.5,42.950191497802734,CC1=C[C@@H]2C(C(C)(C)O)=C[C@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam7,0,test,54.549808502197266
308.0,96.0,85.86223602294922,CC1=C[C@@H]2C(C(C)(C)O)=C[C@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1,C/C=C/C(=O)c1ccccc1,fam7,0,test,10.137763977050781
315.0,2.5,3.655280590057373,CC1=C[C@@H]2C(C(C)(C)O)=C[C@H]1C[C@@H]2C(C)C,OB(O)c1ccc2ccccc2c1,O=C1C=CCCC1,fam7,0,test,-1.155280590057373
324.0,2.5,8.208780288696289,CC1=C[C@@H]2C(C(=O)NC3CCCCC3)=C[C@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1,O=[N+]([O-])c1ccc(/C=C/CCc2ccccc2)cc1,fam7,0,test,-5.708780288696289
342.0,0.30000001192092896,11.066481590270996,CC1=C[C@@H]2C(C(C)(C)O)=C[C@H]1C[C@@H]2C(C)C,OB(O)/C=C/c1ccccc1,O=C1C=CCCC1,fam7,0,test,-10.766481578350067
344.0,97.66666412353516,97.7380599975586,C1=C(Cc2ccccc2)[C@@H]2C=C(Cc3ccccc3)[C@H]1C2,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,test,-0.0713958740234375
353.0,95.25,98.02545928955078,C1=C(Cc2ccccc2)[C@@H]2C=C(Cc3ccccc3)[C@H]1C2,OB(O)c1ccccc1,O=C1C=CCCCC1,fam1,0,test,-2.7754592895507812
377.0,75.0,81.52526092529297,CC1(C)[C@H]2C=C(c3ccccc3)[C@]1(C)C=C2c1ccccc1,OB(O)c1ccccc1,Cc1ccc(/C=C/[N+](=O)[O-])cc1,fam2,0,test,-6.525260925292969
381.0,91.5,95.82408905029297,CC1(C)[C@H]2C=C(c3ccc(-c4ccccc4)cc3)[C@]1(C)C=C2c1ccc(-c2ccccc2)cc1,OB(O)c1ccccc1,CC(=O)/C=C/C(C)C,fam2,0,test,-4.324089050292969
387.0,98.0,72.84835815429688,CC1=C[C@H]2C(C(C)(C)O)=C[C@@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1Cl,O=C1C=CCCC1,fam7,0,test,25.151641845703125
406.0,97.5,101.81066131591797,CC1(C)[C@H]2C=C(c3ccc([N+](=O)[O-])cc3)[C@]1(C)C=C2c1ccc([N+](=O)[O-])cc1,OB(O)c1ccccc1,O=C1C=CCCCC1,fam2,0,test,-4.310661315917969
422.0,99.69999694824219,103.08453369140625,CC1(C)[C@H]2C=C(c3cccc4ccccc34)[C@]1(C)C=C2c1cccc2ccccc12,OB(O)c1ccc(C(F)(F)F)cc1,CC(=O)/C=C/C1CCCC1,fam8,0,test,-3.3845367431640625
436.0,2.4000000953674316,0.7286466360092163,CO[C@]1(C)C[C@]2(C)C=C[C@H]1C=C2c1ccc(C)cc1,OB(O)c1ccccc1,O=C1C=CCCC1,fam5,0,test,1.6713534593582153
447.0,95.0,68.72040557861328,CC(C)CC(O)(CC(C)C)C1=C[C@H]2C=C[C@@H]1CC2,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam3,0,test,26.27959442138672
459.0,8.0,25.61519432067871,Cc1cc(C)c(CC2=C[C@@H]3C[C@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,OB(O)c1ccc2ccccc2c1,O=C1C=CC(=O)N1C1CCCCC1,fam1,0,test,-17.61519432067871
478.0,99.5,108.38860321044922,C1=C(c2ccccc2)[C@@H]2C=C(c3ccccc3)[C@H]1CC2,COc1ccc(B(O)O)cc1,O=C1C=CC2(OCCO2)c2ccccc21,fam3,0,test,-8.888603210449219
517.0,97.5,92.11812591552734,C1=C(Cc2ccccc2)[C@@H]2C=C(Cc3ccccc3)[C@H]1CC2,OB(O)c1cccc(Cl)c1,CC(=O)/C=C/[Si](C)(C)c1ccccc1,fam3,0,test,5.381874084472656
528.0,96.0,96.52599334716797,C1=C(Cc2ccccc2)[C@@H]2C=C(Cc3ccccc3)[C@H]1CC2,OB(O)c1ccccc1,CC(C)(C)c1ccccc1N1C(=O)C=CC1=O,fam3,0,test,-0.5259933471679688
533.0,5.5,4.263457775115967,C1=C(Cc2ccccc2)[C@H]2C=C(Cc3ccccc3)[C@@H]1CC2,OB(O)c1ccc2ccccc2c1,C/C=C/C(=O)N(C)OC,fam3,0,test,1.2365422248840332
534.0,7.5,4.800693035125732,C1=C(Cc2ccccc2)[C@H]2C=C(Cc3ccccc3)[C@@H]1CC2,OB(O)c1ccccc1,C/C=C/C(=O)n1cccc1,fam3,0,test,2.6993069648742676
552.0,98.5,95.2799301147461,C[C@]12C=C(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@](C)(C=C1c1cc(C(F)(F)F)cc(C(F)(F)F)c1)CC2,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam4,0,test,3.2200698852539062
555.0,99.0,103.4475326538086,CC(C)(O)C1=C[C@H]2C=C[C@@H]1C2,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,test,-4.447532653808594
560.0,92.375,93.94355773925781,COC(=O)[C@]12C=C(c3cccc(C(F)(F)F)c3)[C@](C(=O)OC)(C=C1c1cccc(C(F)(F)F)c1)CC2,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam4,0,test,-1.5685577392578125
564.0,86.0,75.75122833251953,COC(=O)[C@]12C=C(c3cc(OC)c(OC)c(OC)c3)[C@](C(=O)OC)(C=C1c1cc(OC)c(OC)c(OC)c1)CC2,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam4,0,test,10.248771667480469
592.0,5.5,-9.568204879760742,C=CCC1=C[C@]2(C)C[C@@](C)(OC)[C@H]1C=C2CC(C)C,OB(O)/C=C/c1ccccc1,C/C=C/C(C)=O,fam6,0,test,15.068204879760742
594.0,4.5,-7.791646480560303,C=CCC1=C[C@]2(C)C[C@@](C)(OC)[C@H]1C=C2CC(C)C,OB(O)c1ccccc1,O=C1C=CCO1,fam6,0,test,12.291646480560303
596.0,99.0,57.90523910522461,CO[C@]1(C)C[C@@]2(C)C=C(Cc3ccccc3)[C@@H]1C=C2CC(C)C,OB(O)c1ccccc1,Cc1ccc2oc(=O)ccc2c1,fam6,0,test,41.09476089477539
602.0,1.0,1.0565038919448853,CO[C@]1(C)C[C@]2(C)C=C[C@H]1C=C2c1c(C)cccc1C,OB(O)c1ccc(C(F)(F)F)cc1,O=C1C=CCCC1,fam5,0,test,-0.056503891944885254
611.0,4.5,14.085675239562988,CO[C@@]1(C)C[C@]2(C)C=C(Cc3ccccc3)[C@H]1C=C2CC(C)C,OB(O)c1cccc(C(F)(F)F)c1,O=C/C=C/c1ccccc1,fam6,0,test,-9.585675239562988
617.0,5.0,7.884695529937744,CO[C@@]1(C)C[C@]2(C)C=C(Cc3ccccc3)[C@H]1C=C2CC(C)C,OB(O)c1ccccc1,Cc1ccc(OCc2ccccc2)c(/C=C/C=O)c1,fam6,0,test,-2.884695529937744
627.0,3.0,9.102804183959961,CO[C@@]1(C)C[C@]2(C)C=C(Cc3ccccc3)[C@H]1C=C2CC(C)C,OB(O)c1ccccc1,CC(C)(C)OC(=O)/C=C/c1cccc(F)c1,fam6,0,test,-6.102804183959961
633.0,20.0,13.316991806030273,CO[C@@]1(C)C[C@]2(C)C=C(Cc3ccccc3)[C@H]1C=C2c1ccccc1,COc1ccc(B(O)O)cc1,O=C/C=C/c1ccccc1,fam6,0,test,6.683008193969727
637.0,1.75,1.4241338968276978,CO[C@]1(C)C[C@]2(C)C=C[C@H]1C=C2c1c(C)cccc1C,COc1ccc(B(O)O)cc1,O=C1C=CCCC1,fam5,0,test,0.32586610317230225
649.0,99.0,114.10619354248047,CC1=C[C@H]2C(C(C)(C)O)=C[C@@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1,O=C1C=CCCCC1,fam7,0,test,-15.106193542480469
655.0,3.5,5.644713878631592,CO[C@]1(C)C[C@]2(C)C=C[C@H]1C=C2c1c(C)cccc1C,OB(O)c1ccc(Cl)cc1,O=C1C=CCCC1,fam5,0,test,-2.144713878631592
671.0,97.5,102.13009643554688,CC1=C[C@H]2C(C(=O)N(Cc3ccccc3)Cc3ccccc3)=C[C@@H]1C[C@@H]2C(C)C,Cc1ccc(O)c(B2OC(C)(C)C(C)(C)O2)c1,CCC/C=C/c1ncc(C(F)(F)F)cc1Cl,fam7,0,test,-4.630096435546875
672.0,96.0,74.7793960571289,CC1=C[C@H]2C(C(=O)N(Cc3ccccc3)Cc3ccccc3)=C[C@@H]1C[C@@H]2C(C)C,CC1(C)OB(c2ccccc2O)OC1(C)C,CCCCCC/C=C/c1ncc(C#N)cc1Cl,fam7,0,test,21.220603942871094
682.0,95.0,107.99755096435547,CC1=C[C@H]2C(C(=O)N[C@H]3CCCC[C@@H]3n3c(C)ccc3C)=C[C@@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1,C(=C/c1cnc2ccccc2n1)\CCc1ccccc1,fam7,0,test,-12.997550964355469
127.0,4.0,5.453802108764648,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,OB(O)c1ccccc1,O=C1C=CCCCC1,fam3,0,train,-1.4538021087646484
360.0,96.5,96.07781982421875,CC1(C)[C@H]2C=C(c3ccccc3)[C@]1(C)C=C2c1ccccc1,OB(O)c1ccccc1,CC(=O)/C=C/C(C)C,fam2,0,train,0.42218017578125
212.0,1.0,2.0205535888671875,CC(C)(O)C1=C[C@@H]2C=C[C@H]1C2,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,train,-1.0205535888671875
559.0,86.5,89.50331115722656,COC(=O)[C@]12C=C(c3cccc(C)c3)[C@](C(=O)OC)(C=C1c1cccc(C)c1)CC2,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam4,0,train,-3.0033111572265625
301.0,3.5,11.831396102905273,C1=C(Cc2ccccc2)[C@H]2C=C(Cc3ccccc3)[C@@H]1C2,Clc1cccc(B2OB(c3cccc(Cl)c3)OB(c3cccc(Cl)c3)O2)c1,O=C1C=CCCC1,fam1,0,train,-8.331396102905273
213.0,16.5,16.55004119873047,OC[C@@]12C=C(c3ccccc3)[C@@](CO)(C=C1c1ccccc1)CC2,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam4,0,train,-0.05004119873046875
33.0,2.5,4.85443115234375,CC1(C)[C@@H]2C=C(c3ccccc3)[C@@]1(C)C=C2c1ccccc1,OB(O)c1ccccc1,Cc1cccc(C)c1OC(=O)/C=C/C(=O)OC(C)(C)C,fam2,0,train,-2.35443115234375
597.0,2.0,10.659111022949219,C=CCC1=C[C@]2(C)C[C@@](C)(OC)[C@H]1C=C2CC(C)C,c1ccc(B2OCCO2)cc1,O=C1C=CCCC1,fam6,0,train,-8.659111022949219
451.0,95.0,106.82368469238281,Cc1cc(C)c(CC2=C[C@@H]3C[C@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,OB(O)c1ccc(F)cc1,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam1,0,train,-11.823684692382812
539.0,99.5,98.86874389648438,C[C@]12C=C(c3ccccc3)[C@](C)(C=C1c1ccccc1)CC2,OB(O)c1ccccc1,O=C1C=CCC1,fam4,0,train,0.631256103515625
74.0,2.0,2.4560623168945312,CC1(C)[C@@H]2C=C(c3cccc4ccccc34)[C@@]1(C)C=C2c1cccc2ccccc12,OB(O)c1ccc(C(F)(F)F)cc1,CC(=O)/C=C/C(C)C,fam8,0,train,-0.45606231689453125
526.0,97.5,99.56332397460938,C1=C(Cc2ccccc2)[C@@H]2C=C(Cc3ccccc3)[C@H]1CC2,OB(O)c1ccccc1,CCOC(=O)/C=C/[Si](C)(C)c1ccccc1,fam3,0,train,-2.063323974609375
684.0,85.0,102.05952453613281,CC1=C[C@H]2C(C(=O)N3CCOCC3)=C[C@@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1,O=[N+]([O-])c1ccc(/C=C/CCc2ccccc2)cc1,fam7,0,train,-17.059524536132812
495.0,99.0,99.74794006347656,C1=C(c2ccccc2)[C@@H]2C=C(c3ccccc3)[C@H]1CC2,OB(O)c1ccccc1,Cc1ccc2oc(=O)ccc2c1,fam3,0,train,-0.7479400634765625
200.0,1.0,0.17712783813476562,C[C@@]12C=C(c3ccccc3)[C@@](C)(C=C1c1ccccc1)CC2,OB(O)c1ccccc1,Cc1ccc2oc(=O)ccc2c1,fam4,0,train,0.8228721618652344
536.0,6.5,3.680757522583008,C1=C(Cc2ccccc2)[C@H]2C=C(Cc3ccccc3)[C@@H]1CC2,OB(O)c1ccccc1,CCC/C=C/C(=O)N(C)OC,fam3,0,train,2.819242477416992
638.0,92.5,92.46855163574219,CC1(C)[C@H]2C=C(c3ccc(Cl)cc3)[C@]1(C)C=C2c1ccc(Cl)cc1,COc1ccc(B(O)O)cc1,O=C1C=CCCC1,fam2,0,train,0.0314483642578125
520.0,96.5,100.3369140625,C1=C(Cc2ccccc2)[C@@H]2C=C(Cc3ccccc3)[C@H]1CC2,OB(O)c1ccc2ccccc2c1,CC(=O)/C=C/[Si](C)(C)c1ccccc1,fam3,0,train,-3.8369140625
103.0,7.5,5.603647232055664,CC(C)CC(O)(CC(C)C)C1=C[C@@H]2C=C[C@H]1CC2,OB(O)c1ccccc1,O=C1C=CCCCC1,fam3,0,train,1.896352767944336
600.0,97.0,97.9913330078125,C=CCC1=C[C@@]2(C)C[C@](C)(OC)[C@@H]1C=C2CC(C)C,OB(O)c1ccccc1,O=C1C=CCC1,fam6,0,train,-0.9913330078125
2.0,79.0,83.90280151367188,C=CCC1=C[C@]2(C)C=C[C@H]1[C@](C)(OC)C2,OB(O)c1ccccc1,O=C1C=CCCC1,fam6,0,train,-4.902801513671875
578.0,95.5,99.20936584472656,CC1(C)[C@H]2C=C(c3ccccc3)[C@]1(C)C=C2c1ccccc1,OB(O)c1ccccc1,O=C1C=CCCC1,fam2,0,train,-3.7093658447265625
242.0,98.5,99.768798828125,COc1ccc(C2=C[C@H]3C=C[C@]2(C)C[C@@]3(C)OC)cc1OC,OB(O)c1ccccc1,O=C1C=CCCO1,fam5,0,train,-1.268798828125
244.0,93.0,88.86231994628906,COc1ccc(C2=C[C@H]3C=C[C@]2(C)C[C@@]3(C)OC)cc1OC,OB(O)c1cccc2ccccc12,O=C1C=CCCO1,fam5,0,train,4.1376800537109375
92.0,24.0,24.666366577148438,CC1(C)[C@@H]2C=C(c3ccc(Cl)cc3)[C@@]1(C)C=C2c1ccc(Cl)cc1,OB(O)c1ccccc1,Cc1ccc(/C=C/[N+](=O)[O-])cc1,fam2,0,train,-0.6663665771484375
219.0,14.75,14.485244750976562,COC(=O)[C@@]12C=C(c3cc(C)cc(C)c3)[C@@](C(=O)OC)(C=C1c1cc(C)cc(C)c1)CC2,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam4,0,train,0.2647552490234375
630.0,26.0,19.519807815551758,C=CCC1=C[C@@]2(C)C[C@](C)(OC)[C@@H]1C=C2c1ccccc1,COc1ccc(B(O)O)cc1,O=C/C=C/c1ccccc1,fam6,0,train,6.480192184448242
481.0,98.75,95.54788208007812,C1=C(c2ccccc2)[C@@H]2C=C(c3ccccc3)[C@H]1CC2,COc1ccc(B(O)O)cc1OC,O=C1C=CC2(OCCO2)c2ccccc21,fam3,0,train,3.202117919921875
508.0,99.5,98.79037475585938,C1=C(c2ccccc2)[C@@H]2C=C(c3ccccc3)[C@H]1CC2,OB(O)c1ccccc1,COCC(C)(C)c1ccccc1N1C(=O)C=CC1=O,fam3,0,train,0.709625244140625
487.0,98.5,98.42269897460938,C1=C(c2ccccc2)[C@@H]2C=C(c3ccccc3)[C@H]1CC2,Cc1ccc(B(O)O)cc1,COC(=O)/C(C#N)=C/c1ccccc1,fam3,0,train,0.077301025390625
44.0,2.0,4.742437362670898,CC1=C[C@@H]2C(C(C)(C)O)=C[C@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1Cl,O=C1C=CCCC1,fam7,0,train,-2.7424373626708984
484.0,1.0,1.44722318649292,C1=C(c2ccccc2)[C@@H]2C=C(c3ccccc3)[C@H]1CC2,OB(O)c1ccsc1,O=C1C=CC2(OCCO2)c2ccccc21,fam3,0,train,-0.4472231864929199
562.0,85.25,89.84394836425781,COC(=O)[C@]12C=C(c3cc(C)cc(C)c3)[C@](C(=O)OC)(C=C1c1cc(C)cc(C)c1)CC2,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam4,0,train,-4.5939483642578125
493.0,99.0,100.57467651367188,C1=C(c2ccccc2)[C@@H]2C=C(c3ccccc3)[C@H]1CC2,OB(O)c1ccc(Br)cc1,COC(=O)/C(C#N)=C/c1ccc(OC)cc1,fam3,0,train,-1.574676513671875
223.0,2.0,2.4864425659179688,CC(C)(OCOCc1ccccc1)C1=C[C@@H]2C=C[C@H]1C2,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,train,-0.48644256591796875
458.0,7.5,11.399175643920898,Cc1cc(C)c(CC2=C[C@@H]3C[C@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,OB(O)c1ccc(F)cc1,O=C1C=CC(=O)N1C1CCCCC1,fam1,0,train,-3.8991756439208984
55.0,2.5,5.889686584472656,CC1=C[C@@H]2C(CO)=C[C@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1,O=C1C=CCCC1,fam7,0,train,-3.3896865844726562
302.0,2.0,11.94110107421875,C1=C(Cc2ccccc2)[C@H]2C=C(Cc3ccccc3)[C@@H]1C2,Cc1ccc(B2OB(c3ccc(C)cc3)OB(c3ccc(C)cc3)O2)cc1,O=C1C=CCCC1,fam1,0,train,-9.94110107421875
253.0,1.0,-5.497383117675781,CO[C@]1(C)C[C@]2(C)C=C(Cc3ccccc3)[C@H]1C=C2CC(C)C,OB(O)c1ccccc1,Cc1ccc2oc(=O)ccc2c1,fam6,0,train,6.497383117675781
545.0,99.5,100.39430236816406,C[C@]12C=C(c3ccccc3)[C@](C)(C=C1c1ccccc1)CC2,OB(O)c1ccccc1C(F)(F)F,O=C1C=CC(=O)N1Cc1ccccc1,fam4,0,train,-0.8943023681640625
203.0,0.5,6.332238674163818,C[C@@]12C=C(c3ccccc3)[C@@](C)(C=C1c1ccccc1)CC2,COc1ccc(B(O)O)cc1,O=C1C=CC(=O)N1Cc1ccccc1,fam4,0,train,-5.832238674163818
486.0,78.5,90.47159576416016,C1=C(c2ccccc2)[C@@H]2C=C(c3ccccc3)[C@H]1CC2,OB(O)c1ccccc1,COC(=O)/C=C/c1ccc(OC)cc1,fam3,0,train,-11.971595764160156
327.0,2.5,8.72323989868164,CC1=C[C@@H]2C(C(=O)N(Cc3ccccc3)Cc3ccccc3)=C[C@H]1C[C@@H]2C(C)C,CC1(C)OB(c2ccccc2O)OC1(C)C,CCC/C=C/c1ncc(C(F)(F)F)cc1Cl,fam7,0,train,-6.223239898681641
581.0,2.0,11.280794143676758,CO[C@]1(C)C[C@]2(C)C=C[C@H]1C=C2c1c(C)cccc1C,COc1cccc(B(O)O)c1,O=C1C=CCC1,fam5,0,train,-9.280794143676758
157.0,15.0,24.305696487426758,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,OB(O)c1ccccc1,C/C=C/C(=O)N(C)OC,fam3,0,train,-9.305696487426758
541.0,76.0,85.24099731445312,C[C@]12C=C(c3ccccc3)[C@](C)(C=C1c1ccccc1)CC2,OB(O)c1ccccc1,CCCCC/C=C/C(C)=O,fam4,0,train,-9.240997314453125
337.0,2.5,5.36696195602417,CC1=C[C@@H]2C(C(=O)N[C@H]3CCCC[C@@H]3n3c(C)ccc3C)=C[C@H]1C[C@@H]2C(C)C,OB(O)c1ccccc1,CCCC/C=C/c1ccc2ccccc2n1,fam7,0,train,-2.86696195602417
351.0,98.75,112.5092544555664,CC1=C[C@H]2C(C(C)(C)O)=C[C@@H]1C[C@@H]2C(C)C,Cc1ccccc1B(O)O,O=C1C=CCCC1,fam7,0,train,-13.759254455566406
