,%top,Ligand,ER1,ER2,ER3,ER4,ER5,ER6,ER7,EZ,LMW,LVR1,LVR1+4,LVR1+4/3+6,LVR2,LVR3,LVR3+6,LVR4,LVR5,LVR6,LVR7,LVWhole,RS,Rh source,SStoutR1,SStoutR2,SStoutR3,SStoutR4,Type,VB,boron reagent,equivs boron reagent,ligand,mol% Rh,mol% ligand,solvent,substrate,temp,time,yield,Original,Confg
10,4.75,C1(CC2=CC=CC=C2)=C[C@@H]3C(CC4=CC=CC=C4)=C[C@H]1C3,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,18.72206172,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.1,1.5,3,dioxane/H2O,O=C1C=CCCCC1,50,1,81,1,1
11,2.5,C1(CC2=CC=CC=C2)=C[C@@H]3C(CC4=CC=CC=C4)=C[C@H]1C3,-0.09,0,0,-0.09,0,0,0,1,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.1,1.5,3.3,dioxane/H2O,CC(/C=C/CCCCC)=O,30,1,84,1,1
12,5,C1(CC2=CC=CC=C2)=C[C@@H]3C(CC4=CC=CC=C4)=C[C@H]1C3,-0.09,0,0,-0.09,0,0,0,1,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,3,L3.1,2.5,5.5,dioxane/H2O,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,50,3,78,1,1
13,5.5,C1(CC2=CC=CC=C2)=C[C@@H]3C(CC4=CC=CC=C4)=C[C@H]1C3,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,18.25910483,38.87019992,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.1,1.5,3.3,dioxane/H2O,O=C1C=CCCO1,30,3,44,1,1
14,5,C1(CC2=CC=CC=C2)=C[C@@H]3C(CC4=CC=CC=C4)=C[C@H]1C3,-0.09,0,0,-0.09,0,0,0,1,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.10154133,0,18.72206172,0,Lam,348.0319373,C1(B2OB(C3=CC=CC=C3)OB(C4=CC=CC=C4)O2)=CC=CC=C1,2,L3.1,1.5,3,dioxane/H2O,O=C(/C=C/CCC)OC(C)C,50,1,73,1,1
15,15,C1(CC2=CC=CC=C2)=C[C@@H]3C(CC4=CC=CC=C4)=C[C@H]1C3,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,18.67357617,13.86399135,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,3,L3.1,2.5,5.5,dioxane/H2O,O=C(N1C)C=CC1=O,50,3,89,1,1
16,2,OC(CC(C)C)(CC(C)C)C1=C[C@@H]2C=C[C@H]1CC2,0,0,0,0,0,0,0,0,248.2140155,168.7323234,168.7323234,168.7323234,0,0,0,0,0,0,32.69197045,277.5925989,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,151.9199836,CC1=CC=CC=C1B(O)O,2,L3.19,0.25,0.55,MeOH,O=C1C=CCCC1,94,2,94,1,1
17,3.5,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,22.51198396,0,28.08309257,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.10,1.5,3.6,dioxane,CC(/C=C/C(C)C)=O,25,1,91,1,1
18,33,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,17.93806496,0,17.93806496,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,3,L3.10,2.5,6,MeOH/CH2Cl2,COC(/C=C/C(OC)=O)=O,60,1,89,1,1
19,11.5,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,17.77754503,0,17.77754503,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,3,L3.10,2.5,6,MeOH/CH2Cl2,CCOC(/C=C/C(OCC)=O)=O,60,1,99,1,1
20,1.275,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,3,L3.10,0.5,1.2,MeOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,92,1,1
21,1.833333333,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,151.9199836,CC1=C(B(O)O)C=CC=C1,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,99,1,1
22,1.666666667,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,170.1226604,OB(C1=C(C(F)(F)F)C=CC=C1)O,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,85,1,1
23,2.166666667,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,160.7102105,COC1=C(B(O)O)C=CC=C1,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,99,1,1
24,1.75,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,160.5647539,OB(C1=CC([N+]([O-])=O)=CC=C1)O,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,99,1,1
25,1.25,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,149.8350664,ClC1=CC=CC(B(O)O)=C1,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,99,1,1
26,2,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,203.8079392,CC(C)(C)C1=CC=C(B(O)O)C=C1,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,99,1,1
27,1,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,207.2340739,OB(C1=CC=C(C2=CC=CC=C2)C=C1)O,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,99,1,1
28,1,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,175.3697368,CC(C1=CC=C(B(O)O)C=C1)=O,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,99,1,1
29,0.5,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,140.6915573,FC1=CC=C(B(O)O)C=C1,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,99,1,1
30,1.5,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,146.7591162,FC1=CC=CC(F)=C1B(O)O,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,77,1,1
31,1.75,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,26.42553764,0,Lam,175.2785624,OB(C1=C2C(C=CC=C2)=CC=C1)O,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC(C)(C)C)=O)OC(C)(C)C,60,1,99,1,1
32,1,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,0,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,26.42553764,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,3,L3.10,2.5,6,MeOH/CH2Cl2,O=C(/C=C\C(OC(C)(C)C)=O)OC(C)(C)C,60,1,83,1,1
33,2.5,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,26.42553764,0,23.95337594,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,3,L3.10,0.5,1.2,i-PrOH/CH2Cl2,O=C(/C=C/C(OC1=C(C)C=CC=C1C)=O)OC(C)(C)C,60,1,74,1,1
34,25,C[C@@]12C=C(C3=CC=CC=C3)[C@H](C2(C)C)C=C1C4=CC=CC=C4,-0.01,-0.17,0,-0.01,0,0,-0.17,1,286.1721507,76.88830503,153.7766101,153.7766101,21.5742147,0,0,76.88830503,0,0,54.84795567,296.7506265,1,[Rh(C2H4)2Cl]2,15.10949251,0,18.83685805,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,1.5,L3.10,1.5,3.6,toluene/H2O,CC(C=C1)=CC=C1/C=C/[N+]([O-])=O,50,23,67,1,1
35,11.5,C[C@@]12C=C(C3=CC=C(C)C=C3)[C@H](C2(C)C)C=C1C4=CC=C(C)C=C4,-0.03,-0.17,0,-0.03,0,0,-0.17,1,314.2034508,94.18429025,188.3685805,188.3685805,21.5742147,0,0,94.18429025,0,0,54.84795567,331.3425969,1,[Rh(C2H4)2Cl]2,22.51198396,0,28.08309257,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.11,1.5,3.6,dioxane,CC(/C=C/C(C)C)=O,25,1,90,1,1
36,23,C[C@@]12C=C(C3=CC=C(C)C=C3)[C@H](C2(C)C)C=C1C4=CC=C(C)C=C4,-0.03,-0.17,0,-0.03,0,0,-0.17,1,314.2034508,94.18429025,188.3685805,188.3685805,21.5742147,0,0,94.18429025,0,0,54.84795567,331.3425969,1,[Rh(C2H4)2Cl]2,15.10949251,0,18.83685805,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,1.5,L3.11,1.5,3.6,toluene/H2O,CC(C=C1)=CC=C1/C=C/[N+]([O-])=O,50,23,85,1,1
37,11,C[C@@]12C=C(C3=CC=C(C(C)(C)C)C=C3)[C@H](C2(C)C)C=C1C4=CC=C(C(C)(C)C)C=C4,-0.03,-0.17,0,-0.03,0,0,-0.17,1,398.2973512,146.0722459,292.1444918,292.1444918,21.5742147,0,0,146.0722459,0,0,54.84795567,435.1185083,1,[Rh(C2H4)2Cl]2,22.51198396,0,28.08309257,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.12,1.5,3.6,dioxane,CC(/C=C/C(C)C)=O,25,1,72,1,1
38,8.5,C[C@@]12C=C(C3=CC=C(C4=CC=CC=C4)C=C3)[C@H](C2(C)C)C=C1C5=CC=C(C6=CC=CC=C6)C=C5,0,-0.17,0,0,0,0,-0.17,1,438.234751,149.4983806,298.9967612,298.9967612,21.5742147,0,0,149.4983806,0,0,54.84795567,441.9707776,1,[Rh(C2H4)2Cl]2,22.51198396,0,28.08309257,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.13,1.5,3.6,dioxane,CC(/C=C/C(C)C)=O,25,1,100,1,1
39,22.5,C[C@@]12C=C(C3=CC=C(C4=CC=CC=C4)C=C3)[C@H](C2(C)C)C=C1C5=CC=C(C6=CC=CC=C6)C=C5,0,-0.17,0,0,0,0,-0.17,1,438.234751,149.4983806,298.9967612,298.9967612,21.5742147,0,0,149.4983806,0,0,54.84795567,441.9707776,1,[Rh(C2H4)2Cl]2,15.10949251,0,18.83685805,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,1.5,L3.13,1.5,3.6,toluene/H2O,CC(C=C1)=CC=C1/C=C/[N+]([O-])=O,50,23,56,1,1
40,3.166666667,O=[N+]([O-])C(C=C1)=CC=C1C2=C[C@@H]3C(C4=CC=C([N+]([O-])=O)C=C4)=C[C@@]2(C)C3(C)C,0.26,-0.17,0,0.26,0,0,-0.17,0,376.1423071,102.8290606,205.6581212,205.6581212,21.5742147,0,0,102.8290606,0,0,54.84795567,348.6321376,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,151.9199836,CC1=CC=CC=C1B(O)O,2,L3.14,0.25,0.6,EtOH,O=C1C=CCCC1,30,1,99,1,1
41,2,O=C(OC1=C(C(C)C)C=CC=C1C(C)C)C2=C[C@@H]3C(C)=C[C@H]2[C@@H](C(C)C)C3,0.44,0,0,-0.17,0,0,-0.15,0,366.2558803,212.9041965,234.4784112,234.4784112,0,0,0,21.5742147,0,0,84.57992612,390.9484129,0.5,[Rh(ligand)Cl]2,22.51198396,19.43509996,0,0,Lam,239.1895854,OB(O)C1=C(C=CC2=CC=CC=C2)C=CC=C1,2,L3.79,2.5,3,dioxane,O=C1C=CCCC1,70,4,92,1,1
42,4,O=[N+]([O-])C(C=C1)=CC=C1C2=C[C@@H]3C(C4=CC=C([N+]([O-])=O)C=C4)=C[C@@]2(C)C3(C)C,0.26,-0.17,0,0.26,0,0,-0.17,0,376.1423071,102.8290606,205.6581212,205.6581212,21.5742147,0,0,102.8290606,0,0,54.84795567,348.6321376,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,160.7102105,OB(O)C1=CC=CC=C1OC,2,L3.14,1.5,3.6,EtOH,O=C1C=CCCC1,30,1,95,1,1
43,98.5,C=CCC1=C[C@]2(C)C(CC(C)C)=C[C@H]1[C@@](OC)(C)C2,0.07,0,0,-0.12,-0.17,0,-0.27,0,246.1983655,36.23374097,109.6959113,109.6959113,0,0,0,73.46217037,21.5742147,0,76.07416785,274.95614,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,140.6915573,FC1=CC=CC=C1B(O)O,2,L3.63,1.5,3.3,dioxane,O=C1C=CCCC1,50,1,94,1,1
44,2,OC(C)(C)C1=C[C@@H]2C(C)=C[C@H]1[C@@H](C(C)C)C2,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,PI/CB Rh/Ag 9,22.51198396,19.43509996,0,0,Lam,149.8350664,ClC1=CC=CC=C1B(O)O,1.5,L3.74,0.75,1,toluene,O=C1C=CCCC1,100,9,99,1,1
45,97.5,C[C@]1(OC)[C@@H]2C=C[C@@](C1)(C)C(C3=C(C)C=CC=C3C)=C2,0,0,0,0,-0.17,0,-0.27,0,268.1827154,0,0,0,0,0,111.4802755,0,21.5742147,111.4802755,76.07416785,281.0187336,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,160.5647539,OB(O)C1=CC=CC([N+]([O-])=O)=C1,2,L3.52,1,2.2,DCM,O=C1C=CCCC1,25,1,93,1,1
46,1.75,C1(C2=CC=CC=C2)=C[C@@H]3C(C4=CC=CC=C4)=C[C@H]1CC3,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.20,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,97,1,1
47,8.5,CC(C=CC=C1)=C1C2=C[C@@H]3C(C4=C(C)C=CC=C4)=C[C@H]2CC3,-0.03,0,0,-0.03,0,0,0,0,286.1721507,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,32.69197045,292.9506265,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.158,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,97,1,1
48,3,FC(C(C=C1)=CC=C1C2=C[C@@H]3C(C4=CC=C(C(F)(F)F)C=C4)=C[C@H]2CC3)(F)F,-0.09,0,0,-0.09,0,0,0,0,394.1156198,112.3869671,224.7739342,224.7739342,0,0,0,112.3869671,0,0,32.69197045,329.3559802,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.159,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,96,1,1
49,2.5,COC(C=C1)=CC=C1C2=C[C@@H]3C(C4=CC=C(OC)C=C4)=C[C@H]2CC3,-0.08,0,0,-0.08,0,0,0,0,318.1619799,102.9745172,205.9490344,205.9490344,0,0,0,102.9745172,0,0,32.69197045,310.5310804,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.160,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,99,1,1
50,9.5,CC1=CC(C2=C[C@@H]3C(C4=CC(C)=CC(C)=C4)=C[C@H]2CC3)=CC(C)=C1,-0.09,0,0,-0.09,0,0,0,0,314.2034508,111.4802755,222.9605509,222.9605509,0,0,0,111.4802755,0,0,32.69197045,327.5425969,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.161,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,99,1,1
51,97.5,C=CCC1=C[C@H]2C(CC=C)=C[C@@H]1C2,0,0,-0.16,0,0,-0.16,0,0,144.0939004,0,0,0,0,36.23374097,72.46748195,0,0,36.23374097,20.25598522,163.5535427,0,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.6,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,4.5,72,1,0
